user_id,booking_price,stay_length,num_guests,price_per_night,num_bookings,amenities_1,amenities_2,amenities_3,amenities_4,amenities_5,amenities_6,amenities_7,amenities_8,amenities_9,amenities_10,used_discount,active_days,check_in_date,check_out_date,cluster
user_2,800,1,3,250,8,1,1,1,1,1,1,1,1,1,1,Yes,71,1/2/23,1/3/23,0
user_53,700,1,2,250,9,1,1,1,1,1,1,1,1,1,1,Yes,1,1/2/23,1/3/23,0
user_59,500,1,2,250,10,1,1,1,1,1,1,1,1,1,1,Yes,3,1/2/23,1/3/23,0
user_68,2300,1,2,250,8,1,1,1,1,1,1,1,1,1,1,Yes,10,1/2/23,1/3/23,0
user_76,100,1,4,250,9,1,1,1,1,1,1,1,1,1,1,Yes,7,1/2/23,1/3/23,0
user_77,1000,1,2,250,10,1,1,1,1,1,1,1,1,1,1,Yes,11,1/2/23,1/3/23,0
user_97,800,1,3,250,8,1,1,1,1,1,1,1,1,1,1,Yes,15,1/2/23,1/3/23,0
user_102,700,1,3,250,9,1,1,1,1,1,1,1,1,1,1,Yes,18,1/2/23,1/3/23,0
user_113,500,1,3,250,10,1,1,1,1,1,1,1,1,1,1,Yes,20,1/2/23,1/3/23,0
user_114,2300,1,3,250,8,1,1,1,1,1,1,1,1,1,1,Yes,1,1/2/23,1/3/23,0
user_122,100,1,3,250,9,1,1,1,1,1,1,1,1,1,1,Yes,3,1/2/23,1/3/23,0
user_125,1000,1,3,250,10,1,1,1,1,1,1,1,1,1,1,Yes,10,1/2/23,1/3/23,0
user_138,1000,1,1,250,8,1,1,1,1,1,1,1,1,1,1,Yes,7,1/2/23,1/3/23,0
user_141,1028.571429,1,3,250,9,1,1,1,1,1,1,1,1,1,1,Yes,11,1/2/23,1/3/23,0
user_169,1057.142857,1,3,250,10,1,1,1,1,1,1,1,1,1,1,Yes,15,1/2/23,1/3/23,0
user_174,1085.714286,1,2,250,8,1,1,1,1,1,1,1,1,1,1,Yes,18,1/2/23,1/3/23,0
user_184,1114.285714,1,1,250,9,1,1,1,1,1,1,1,1,1,1,Yes,20,1/2/23,1/3/23,0
user_201,1142.857143,1,2,250,10,1,1,1,1,1,1,1,1,1,1,Yes,20,1/2/23,1/3/23,0
user_239,1171.428571,1,2,250,8,1,1,1,1,1,1,1,1,1,1,Yes,1,1/2/23,1/3/23,0
user_241,1200,1,1,250,9,1,1,1,1,1,1,1,1,1,1,Yes,3,1/2/23,1/3/23,0
user_251,1228.571429,1,1,250,10,1,1,1,1,1,1,1,1,1,1,Yes,10,1/2/23,1/3/23,0
user_262,1257.142857,1,3,250,8,1,1,1,1,1,1,1,1,1,1,Yes,7,1/2/23,1/3/23,0
user_264,1285.714286,1,4,250,9,1,1,1,1,1,1,1,1,1,1,Yes,11,1/2/23,1/3/23,0
user_267,1314.285714,1,4,250,10,1,1,1,1,1,1,1,1,1,1,Yes,15,1/2/23,1/3/23,0
user_283,1342.857143,1,3,250,8,1,1,1,1,1,1,1,1,1,1,Yes,18,1/2/23,1/3/23,0
user_286,1371.428571,1,1,250,9,1,1,1,1,1,1,1,1,1,1,Yes,20,1/2/23,1/3/23,0
user_309,1400,1,4,250,10,1,1,1,1,1,1,1,1,1,1,Yes,1,1/2/23,1/3/23,0
user_315,1428.571429,1,3,250,8,1,1,1,1,1,1,1,1,1,1,Yes,3,1/2/23,1/3/23,0
user_325,1457.142857,1,4,250,9,1,1,1,1,1,1,1,1,1,1,Yes,10,1/2/23,1/3/23,0
user_333,1485.714286,1,2,250,10,1,1,1,1,1,1,1,1,1,1,Yes,7,1/2/23,1/3/23,0
user_363,1514.285714,1,1,250,8,1,1,1,1,1,1,1,1,1,1,Yes,11,1/2/23,1/3/23,0
user_383,1542.857143,1,2,250,9,1,1,1,1,1,1,1,1,1,1,Yes,15,1/2/23,1/3/23,0
user_390,1571.428571,1,3,250,10,1,1,1,1,1,1,1,1,1,1,Yes,18,1/2/23,1/3/23,0
user_404,1600,1,4,250,8,1,1,1,1,1,1,1,1,1,1,Yes,20,1/2/23,1/3/23,0
user_423,1628.571429,1,3,250,9,1,1,1,1,1,1,1,1,1,1,Yes,1,1/2/23,1/3/23,0
user_442,1657.142857,1,2,250,10,1,1,1,1,1,1,1,1,1,1,Yes,3,1/2/23,1/3/23,0
user_454,1685.714286,1,3,250,8,1,1,1,1,1,1,1,1,1,1,Yes,10,1/2/23,1/3/23,0
user_464,1714.285714,1,4,250,9,1,1,1,1,1,1,1,1,1,1,Yes,7,1/2/23,1/3/23,0
user_473,1742.857143,1,2,250,10,1,1,1,1,1,1,1,1,1,1,Yes,11,1/2/23,1/3/23,0
